program_name_and_version,EnergyPlus 25.2.0
program_version_release_date,11/14/25
program_name_short,E+
results_submission_date,6/9/26
organization,National Laboratory of the Rockies
organization_short,NLR
CE340 evap_coil_load_latent_date,2-Oct
CE340 evap_coil_load_latent_hr,10
CE340 evap_coil_load_sensible_and_latent_wh,41628.7
CE340 evap_coil_load_sensible_and_latent_date,2-Oct
CE340 evap_coil_load_sensible_and_latent_hr,10
CE350 energy_consumption_comp_both_fans_wh,12008.3
CE350 energy_consumption_comp_both_fans_date,20-Jul
CE350 energy_consumption_comp_both_fans_hr,15
CE350 evap_coil_load_sensible_wh,23460.4
CE350 evap_coil_load_sensible_date,20-Jul
CE350 evap_coil_load_sensible_hr,15
CE350 evap_coil_load_latent_wh,10627.6
CE350 evap_coil_load_latent_date,10-Jul
CE350 evap_coil_load_latent_hr,13
CE350 evap_coil_load_sensible_and_latent_wh,33102.8
CE350 evap_coil_load_sensible_and_latent_date,20-Jul
CE350 evap_coil_load_sensible_and_latent_hr,15
CE360 energy_consumption_comp_both_fans_wh,12778.1
CE360 energy_consumption_comp_both_fans_date,20-Jul
CE360 energy_consumption_comp_both_fans_hr,15
CE360 evap_coil_load_sensible_wh,32382.2
CE360 evap_coil_load_sensible_date,24-Apr
CE360 evap_coil_load_sensible_hr,16
CE360 evap_coil_load_latent_wh,8954.73
CE360 evap_coil_load_latent_date,2-Oct
CE360 evap_coil_load_latent_hr,10
CE360 evap_coil_load_sensible_and_latent_wh,38709.4
CE360 evap_coil_load_sensible_and_latent_date,2-Oct
CE360 evap_coil_load_sensible_and_latent_hr,11
CE400 energy_consumption_comp_both_fans_wh,12008.3
CE400 energy_consumption_comp_both_fans_date,20-Jul
CE400 energy_consumption_comp_both_fans_hr,15
CE400 evap_coil_load_sensible_wh,23460.4
CE400 evap_coil_load_sensible_date,20-Jul
CE400 evap_coil_load_sensible_hr,15
CE400 evap_coil_load_latent_wh,22702.7
CE400 evap_coil_load_latent_date,17-Jun
CE400 evap_coil_load_latent_hr,16
CE400 evap_coil_load_sensible_and_latent_wh,39126.4
CE400 evap_coil_load_sensible_and_latent_date,25-Oct
CE400 evap_coil_load_sensible_and_latent_hr,15
CE410 energy_consumption_comp_both_fans_wh,12008.3
CE410 energy_consumption_comp_both_fans_date,20-Jul
CE410 energy_consumption_comp_both_fans_hr,15
CE410 evap_coil_load_sensible_wh,23460.4
CE410 evap_coil_load_sensible_date,20-Jul
CE410 evap_coil_load_sensible_hr,15
CE410 evap_coil_load_latent_wh,22702.7
CE410 evap_coil_load_latent_date,17-Jun
CE410 evap_coil_load_latent_hr,16
CE410 evap_coil_load_sensible_and_latent_wh,39126.4
CE410 evap_coil_load_sensible_and_latent_date,25-Oct
CE410 evap_coil_load_sensible_and_latent_hr,15
CE420 energy_consumption_comp_both_fans_wh,12008.3
CE420 energy_consumption_comp_both_fans_date,20-Jul
CE420 energy_consumption_comp_both_fans_hr,15
CE420 evap_coil_load_sensible_wh,23460.4
